"Premises","Hypothesis","GoldLabel"
"(colorful picture; playing; a violin) ||| (A woman; dressed; in all black standing in front of colorful picture)","The woman is wearing a colorful dress with a black background.","contradiction"
"(A group of older people; stand; in a circle clapping) ||| (A group of young people; stand; in a circle clapping)","A woman is sweeping the floor.","contradiction"
"(A vegetable seller; stands; behind an overflowing display) ||| (A fruit seller; stands; behind an overflowing display)","He has too much food to sell.","neutral"
"(the female's black designer handbag; is draped; L:across her lover's shoulder) ||| (A couple; embracing; L:outside a downtown train station)","Two people are waiting for their train inside the train station.","contradiction"
"(A woman in a short blond - hair; makes; a weird face) ||| (A woman in a white shirt; makes; a weird face)","The woman is wearing no clothes.","contradiction"
"(dog; sit; on couches) ||| (A man; sit; on couches)","The man is walking his cat.","contradiction"
"(a park; looking; at a map) ||| (An elderly couple; sit; on a bench; L:in a park)","An old couple are reading a book together","contradiction"
"(A man in khaki trousers; performs; a drum song; L:on a street; for a crowd of people) ||| (A man in a pink colored shirt; performs; a drum song; L:on a street; for a crowd of people)","A band putting away their instruments.","contradiction"
"(Young girl in green bikini; swimming; with a rubber ring) ||| (Young girl in pink bikini; swimming; with a rubber ring)","The girl is cute.","neutral"
"(The Irish setter with the safety vest; is running; ahead of the Dalmation) ||| (The Irish setter with the safety vest; is running; ahead of the Rottwieler)","An Irish setter is being used as an example in order to train two other dogs.","neutral"
"(a black dog; are biting; each other; L:in the face) ||| (A tan dog; are biting; each other; L:in the face)","the dogs have faces","entailment"
"(child; enjoying; a bowling game) ||| (A man; enjoying; a bowling game)","The man is showing the kid how to bowl.","neutral"
"(white pants; jumping; over a yellow object) ||| (A male skateboarder in a black shirt; jumping; over a yellow object)","The skateboarder is wearing black sneakers.","neutral"
"(Border; catches; a tennis ball) ||| (Border collie; jumps; L:in the air)","A dog is catching another ball.","neutral"
"(the dogs; followed; ) ||| (The couple; pushed; the strollers; across the wood bridge)","People and their pets cross the river on a bridge.","neutral"
"(2 girls; facing; one direction) ||| (2 girls; are standing; on poles)","Both girls are not watching each other.","entailment"
"(ladies; are standing; behind vegetables) ||| (ladies; are standing; behind fruits) ||| (ladies; are wearing; white bonnets)","The ladies are at the farmers market.","neutral"
"(Several African American men; are wearing; hats) ||| (Several African American men; are wearing; white suits with blue ribbon accents) ||| (Several African American men; are holding; guitars)","The men are wearing police uniforms.","contradiction"
"(Woman; looks; up; into camera) ||| (Woman; balances; a pie on her head)","A woman is standing up.","entailment"
"(the crowd; lining; the racecourse) ||| (a road race; being urged on; by the crowd) ||| (Two cyclists; competing; L:in a road race)","The bike race is live on TV.","neutral"
"(Two women; are eating; L:in a restaurant) ||| (Two women; are smiling; )","Two women and a child are cooking.","contradiction"
"(teenagers; having; a good time) ||| (A group of teenagers; jumping; )","The teenagers are drinking soda.","neutral"
"(An old man; digging; L:in the dirt; T:on a summer day) ||| (An old man; was; outside)","The old man was treasure hunting in his backyard","neutral"
"(A dog; jumping; off a another dog; L:on the grass in the background) ||| (A dog; jumping; off a fence)","One of the dogs is a chihuahua.","neutral"
"(another; plays; the cello; L:on the street) ||| (A woman; plays; the tuba)","A man and a woman play electric guitars on the street.","contradiction"
"(A man; is running; along a boardwalk near the buildings) ||| (A man; is running; along a boardwalk near the water)","The man is running by the beach.","entailment"
"(A man in a white shirt; standing; next to a child) ||| (A man in a white shirt; standing; next to a tree) ||| (A man in a white shirt; is holding; a saw)","There is man near a tree.","entailment"
"(A smiling young woman in a red t-shirt; playing; a guitar; L:in a room with guitars on the wall) ||| (A smiling young woman in a red t-shirt; sitting; on a stool)","She is an expert guitar player.","neutral"
"(people; sitting; outside a stone building under hand-painted flags) ||| (A juggler on a very tall unicycle; entertains; a group of people)","a man is a professional juggler","neutral"
"(old advertisements; wearing; a short white shirt with jean skirt) ||| (old advertisements; wearing; a short white shirt with jean jacket) ||| (wall; filled; with old advertisements) ||| (Woman; stands; against wall)","A clothed woman is standing next to something.","entailment"
"(A woman; looking off; at the buildings in the distance) ||| (A woman; stands; in the road)","A woman looks at a far away city from a country road","neutral"
"(A man in a beige cap; is drinking; from a Styrofoam cup) ||| (A man in a brown jacket; is drinking; from a Styrofoam cup)","a woman is eating sausages","contradiction"
"(woman; are talking; L:outside; T:at night) ||| (The man; are talking; L:outside; T:at night)","A man is proposing","neutral"
"(the little dog; is walking; L:beside it) ||| (The large dog; is holding; a rope; L:in its mouth)","The two dogs are walking to their owner to play tug a war.","neutral"
"(bare feet; performing; a ritual dance over bamboo poles) ||| (A woman in a plaid dress; performing; a ritual dance over bamboo poles)","The woman has on shoes.","contradiction"
"(a baby; sitting; on a porch) ||| (Girl with arms; crossed; a man with a baby) ||| (a gray beard; holding; a glass) ||| (Girl with arms; crossed; a man with a gray beard)","People are enjoying the outdoors.","neutral"
"(A young boy; holding; an umbrella) ||| (A young boy; is standing; in muddy streets)","A boy walks on a clean sidewalk","contradiction"
"(A female in brown knit cap; hooping; ) ||| (A female in brown knit cap; is hula; ) ||| (A female in sunglasses; is; hula hooping) ||| (A female in an orange tank top; is; hula hooping)","The man is hula hooping.","contradiction"
"(one woman; are playing; frisbee) ||| (Two men; are playing; frisbee)","People playing frisbee in the street.","neutral"
"(A young girl with a white dress; walks; down a dirt road with fields on both sides of the road) ||| (A young girl with a white dress; walks; down a dirt road with trees on both sides of the road)","The girl is wakling down the dirt road because she is heading home.","neutral"
"(A man with graying beard; is playing; with a child; L:in a red top) ||| (A man with graying hair; is playing; with a child; L:in a red top)","An elderly woman is playing with a child.","contradiction"
"(A group of men; having; drinks) ||| (A group of men; are sitting; around)","the men are thieves","neutral"
"(the platform outside; is; visible through the window) ||| (People; are standing; on a crowded subway)","The riders do not enjoy the bus because it's uncomfortable.","contradiction"
"(A baby in a yellow bouncer; is crying; ) ||| (A baby in a purple bouncer; is crying; )","A baby is crying for her pacifier that she dropped on the floor.","neutral"
"(a young toddler; are playing; L:outside; L:in the grass) ||| (A man; are playing; L:outside; L:in the grass)","the toddlers are outside","entailment"
"(A group of young children; watching; a woman in a white t - shirt) ||| (young children; watching; a woman in brown shorts) ||| (A group of young children; are gathered; together) ||| (young children; wearing; backpacks)","Young children gather to watch a woman walk down the street,","neutral"
"(the striped sweatshirt; doing; tricks; on his skateboard) ||| (The boy in gray; is taking; pictures of his friend in the striped sweatshirt)","A skateboarder tries out a new trick while his friend takes pictures.","neutral"
"(A little boy; riding; in a shovel) ||| (A little boy; smiling; )","The boy is outside.","entailment"
"(a crowd; holding; a white object) ||| (A man; stands; in a crowd)","A man waiting in line.","entailment"
"(A young boy in swimming trunks; holds; a bright green shovel on a sandy beach) ||| (A young boy in swimming trunks; holds; a blue pail)","A young boy is going to make a sand castle.","neutral"
"(A white man; is; in mid jump on a lake) ||| (A white man; is wakeboarding; )","a man is competeing in a sport","neutral"
"(A bride; looking; down the road) ||| (A bride; stands; on the curb)","the bride stayed in the hotel all day due to the rain","contradiction"
"(A man; waiting; ) ||| (A man; is standing; beside his stand)","The man is waiting for a taxi.","neutral"
"(A man in a gray jacket; sits; outside; L:on a street corner) ||| (A man in a green hat jacket; sits; outside; L:on a street corner)","The woman in white walks past the corner gift shop, looking in the window.","contradiction"
"(a snow; covered; T:hill) ||| (A skier; is; on a snow)","A person skiing.","entailment"
"(One young man; looking; very bored) ||| (One young man; sitting down; ) ||| (One young man with short orange hair; is fiddling; his thumbs)","A man is daydreaming.","neutral"
"(a white top; is looking; at forms in a medical office) ||| (An elderly woman in glasses; is looking; at forms in a medical office)","The woman is old.","entailment"
"(each; playing; an instrument) ||| (Three men; are set up; L:outside; L:in front of a building)","Three street musicians are on wall street.","neutral"
"(a second person across from him; reaching; for candy in a Christmas tree) ||| (a second person across from him; reaching; for candy in a dish in the background) ||| (Man; watching; cartoons on television with the arm of a second person across from him)","A tall human watching.","neutral"
"(A sleeping baby; is wearing; an asian outfit) ||| (A sleeping baby; is sucking; his fingers)","The child is a newly adopted child waiting with his new parents before heading home on a plane.","neutral"
"(A man; does; the splits in midair) ||| (A man; jumps; )","the guy sleeps on the couch","contradiction"
"(past several people; having; a picnic) ||| (a man; canoes; down; a river, past several people)","The person is rowing his boat down the river","entailment"
"(a young guy; are; outside; L:on a street) ||| (a street; facing; each other) ||| (A young girl; are; outside; L:on a street)","Some people are outside.","entailment"
"(Two people; gaze; at a golden statue) ||| (Two people; stand; )","Some people are looking at a statue.","entailment"
"(Bridesmaids in others; watch; hula hoops) ||| (Bridesmaids in gold dresses; watch; as a man in a suit; hula hoops)","The man is juggling knives","contradiction"
"(A white male in a green shirt; singing; a song) ||| (a green shirt; playing; a guitar)","The man is the lead singer of the band.","neutral"
"(People; lounging; L:in purple blow on green grass; L:at an outdoor event in front of a building) ||| (People; lounging; L:in purple blow up chairs)","The people are outside.","entailment"
"(a man in white shorts; are jogging; down the street) ||| (a man in a red shirt; are jogging; down the street) ||| (a man in black; are jogging; down the street)","The men are outside.","entailment"
"(A dog; to catch; a yellow ball; T:while standing in the sand) ||| (A dog; gets; ready to catch a yellow ball)","A cat dances.","contradiction"
"(his ears; flapping; L:in the breeze) ||| (A fluffy white dog; runs; through the woods with his ears)","A Maltese is running to catch a toy.","neutral"
