"Premises","Hypothesis","GoldLabel"
"(flowers; being shown; by a woman in glasses) ||| (flowers; being shown; by a woman in a red jacket) ||| (A woman in a red fur coat; looking; at flowers)","A man playing a drum.","contradiction"
"(another woman with a brown jacket; donate; to a food drive) ||| (A woman with a ponytail; donate; to a food drive)","The two woman donating to a food drive know each other.","neutral"
"(A tan dog; running; L:in a field) ||| (A black dog; running; L:in a field)","A dog is getting a treat.","contradiction"
"(A woman in black clothes; grating; cheese) ||| (A woman in black clothes; is; in a kitchen)","A lady is cooking dinner.","entailment"
"(a girl; are standing; on a pile of rocks) ||| (A boy; are standing; on a pile of rocks)","Two people are standing on rocks.","entailment"
"(A white dog; shakes; itself; to get the water off) ||| (A black dog; shakes; itself; to get the water off)","A kitten takes a bath","contradiction"
"(Latin American origins; seated; on a matte on the ground) ||| (A young boy of Latin American origins; to be unpacking; a container of tropical fruits) ||| (A young boy of Latin American origins; seems; ) ||| (Latin American origins; wearing; shorts)","Nobody has shorts.","contradiction"
"(a man in black swimming trunks; are; at the beach) ||| (A man in blue swimming trunks; are; at the beach)","The two men are at the beach.","entailment"
"(a child; are sitting; by a cart of arrows; L:in front of a booth at a medieval Fayre) ||| (two women; are sitting; by a cart of arrows; L:in front of a booth at a medieval Fayre)","The two women are in a booth at a diner looking at arrows on the menu.","contradiction"
"(tall man in a police officer with their backs to the viewer; walk; past a man in sandals; T:On a sidewalk) ||| (tall man in a police officer with their backs to the viewer; walk; past a man in black shorts; T:On a sidewalk) ||| (tall man in a police officer with their backs to the viewer; walk; past a man in a white t - shirt; T:On a sidewalk) ||| (tall man in a black shirt with their backs to the viewer; walk; past a man in sandals; T:On a sidewalk) ||| (tall man in a black shirt with their backs to the viewer; walk; past a man in black shorts; T:On a sidewalk) ||| (tall man in a black shirt with their backs to the viewer; walk; past a man in a white t - shirt; T:On a sidewalk)","Three people in chef's outfits stand on a deserted beach.","contradiction"
"(a wheelchair; holding; a gray cane) ||| (A man in a wheelchair; sits; in front of some trees) ||| (A man in a wheelchair; sits; in front of some bushes) ||| (a wheelchair; wearing; a brown jacket)","The man sits outside.","entailment"
"(A man; spreading; his arms; for a move in gymnastics) ||| (A man; wearing; makeup)","A dog is running on a field.","contradiction"
"(A group of people; are walking; L:in the snow) ||| (people; wearing; bright orange jackets)","The group of people were contractors that worked on construction","neutral"
"(A boy with a blue hat; is hugging; a white dog; L:on a porch in the snow) ||| (A boy with a blue hat; is hugging; a brown dog on a porch in the snow) ||| (A boy with a black jacket; is hugging; a white dog; L:on a porch in the snow) ||| (A boy with a black jacket; is hugging; a brown dog on a porch in the snow)","A boy is playing xbox","contradiction"
"(Woman; applying; eyeliner) ||| (Woman; sitting; on a countertop)","The woman is putting on make up at work.","neutral"
"(women in denim pants; walk; uphill) ||| (women in cotton shirts; walk; uphill) ||| (Eleven men in denim pants; walk; uphill; along a shaded forest trail) ||| (Eleven men in cotton shirts; walk; uphill)","Men and women are walking outdoors.","entailment"
"(A man with studded leather clothing; is playing; a bass guitar; L:at a rock concert) ||| (A man with frightening makeup; is playing; a bass guitar; L:at a rock concert)","This is an orchestra show.","contradiction"
"(a table; being sniffed; by another dog) ||| (A dog; lays; under a table)","There is a cat laying under the table being sniffed by another cat.","contradiction"
"(a woman; are enjoying; themselves) ||| (A man; are enjoying; themselves) ||| (a woman; are gambling; at a casino) ||| (A man; are gambling; at a casino)","A man and woman order drinks at a bar.","contradiction"
"(A group of men; play; basketball; L:on a chain link court) ||| (A group of men; play; basketball; L:on a steel link court)","Men are playing basketball to try to win a bet.","neutral"
"(A woman; is holding; a white umbrella) ||| (A woman; is riding; a pink bicycle)","The bicycle is yellow.","contradiction"
"(young people; making; a pattern with sticks) ||| (A woman in white; directs; a group of young people)","The woman is a teacher.","neutral"
"(A lady; holding; leaves) ||| (A lady; standing; in a crop of sorts)","The woman is sleeping in the field.","contradiction"
"(A group of people in red bandannas; are congregated; together) ||| (A group of people in white shirts; are congregated; together)","a group of drug cartel members in bandanas are together","neutral"
"(The boy with the blue helmet; rides; his bicycle) ||| (The boy with the red helmet; rides; his bicycle)","The boy needs training wheels.","neutral"
"(a young boy; playing; L:in a golf resort village) ||| (Here; is; a picture of a young boy)","A boy is outside","entailment"
"(A couple; poses; for the camera) ||| (A couple; sits; on a slanting tree trunk)","A married couple is on their vacation.","neutral"
"(the city; playing; the flute) ||| (An older gentleman with a long, white beard; sits; along a metal background in the city)","A woman in the countryside is cross dressing as man with a long white beard.","contradiction"
"(A smiling man in uniform; surrounded; by grinning people in brightly-colored clothes) ||| (A smiling man in uniform; stands; on a cobblestone street)","A businessman in a suit walks in the rain.","contradiction"
"(A group of women; play; various stringed instruments) ||| (women; wearing; all black uniforms)","A band consisting of female musicians performs, dressed in black.","entailment"
